stop_id,ligne,stop_name,stop_desc,stop_lat,stop_lon
10PAU2,4,PAUL BERT,,49.660762,-1.697366
10PAX1,5,LA PAIX,,49.652684,-1.653713
10PAX2,5,LA PAIX,,49.653173,-1.654152
10PET1,5,PETITE AUBERGE,,49.660356,-1.679803
10PET2,5,PETITE AUBERGE,,49.660882,-1.680346
10PFJ1,2,PLACE DES JUSTES,,49.624719,-1.645211
10PFJ2,2,PLACE DES JUSTES,,49.624527,-1.645509
10PHG2,3-4-5,PL. GREVILLE,,49.638612,-1.627880
10PIE1,0,PIERRE CARDRON,,49.665782,-1.701652
10PIS1,2,COLLIGNON,,49.653971,-1.563555
10PL 1,3-4,PL. DE LA FONTAINE,,49.640265,-1.626008
10PL2,3-4,PL. DE LA FONTAINE,,49.639801,-1.625587
10PLA1,2-3,PLACE RAVENEL,,49.638734,-1.615806
10PLA2,2-3,PLACE RAVENEL,,49.638204,-1.616610
10POL1,4,LA POLLE,,49.641220,-1.642917
10POL2,4,LA POLLE,,49.641076,-1.642367
10PON1,0,PONT DE LA BONDE,,49.645612,-1.674167
10PON2,0,PONT DE LA BONDE,,49.646039,-1.674210
10PRE1,3-4,PREVERT,,49.652989,-1.662340
10PRE2,3-4,PREVERT,,49.653119,-1.662506
10PYC1,6,POLYCLINIQUE,,49.635821,-1.656471
10QUCO,0,QUAI COLLINS,,49.639958,-1.618360
10RED1,2,REDOUTE,,49.633935,-1.636170
10RED2,2,REDOUTE,,49.633676,-1.636554
10REN1,4,RENARDIERES,,49.608135,-1.611438
10REN2,4,RENARDIERES,,49.608058,-1.611014
10REP1,3-5,REPUBLIQUE,,49.648108,-1.648946
10REP2,3-5,REPUBLIQUE,,49.648143,-1.648821
10ROG1,0,ROGER GLINEL,,49.664930,-1.696678
10ROG2,0,ROGER GLINEL,,49.664919,-1.696156
10ROS1,2,ROSSEL,,49.628405,-1.641578
10ROS2,2,ROSSEL,,49.628060,-1.642061
10RSX1,5,LES ROSEAUX,,49.643622,-1.576493
10RSX2,5,LES ROSEAUX,,49.643719,-1.576961
10RUC1,4,LA RUCHE,,49.620006,-1.611281
10RUC2,4,LA RUCHE,,49.620016,-1.611405
10SAD1,2,SADI CARNOT,,49.629592,-1.640443
10SAD2,2,SADI CARNOT,,49.629520,-1.640624
10SAL1,2,SALENGRO,,49.626571,-1.643371
10SAL2,2,SALENGRO,,49.626168,-1.643916
10SEX1,4,ST EXUPERY,,49.616202,-1.605539
10SEX2,4,ST EXUPERY,,49.616042,-1.605189
10SFG1,4,STADE FERNAGU,,49.661423,-1.694017
10SFG2,4,STADE FERNAGU,,49.661509,-1.693967
10SFN1,4,SCHAFFNER,,49.655054,-1.686400
10SFN2,4,SCHAFFNER,,49.655468,-1.686791
10SHU1,1,SCHUMAN-DELAVILLE,,49.635718,-1.624013
10SHU2,3-4-5,SCHUMAN,,49.636858,-1.625749
10SHU3,3-4-5,SCHUMAN,,49.637085,-1.625517
10SHU7,1,SCHUMAN-DELAVILLE,,49.635685,-1.625753
10SMT1,0,SCHMITT,,49.642089,-1.652889
10SMT2,0,SCHMITT,,49.642215,-1.652841
10SRF1,5,SURCOUF,,49.657002,-1.673745
10SRN1,4,LE STADE RN13,,49.623417,-1.613582
10STA1,4,LE STADE,,49.642412,-1.636875
10STA2,4,LE STADE,,49.641604,-1.637064
10SWZ1,4,SCHWEITZER,,49.616332,-1.596618
10SWZ2,4,SCHWEITZER,,49.615330,-1.596393
10TFL1,5,FLAMANDS,,49.650739,-1.583320
10THH1,5-6,THEMIS HOPITAL,,49.634561,-1.615577
10THH2,5-6,THEMIS HOPITAL,,49.634667,-1.615370
10TLL2,4,LES TILLEULS,,49.658747,-1.698833
10TNE1,0,TOT NEUF,,49.643061,-1.655182
10TRA1,3-5,TERRASSES,,49.649671,-1.650552
10TRA3,3-5,TERRASSES,,49.650816,-1.651605
10TRA6,3-5,TERRASSES,,49.649765,-1.650480
10TRE1,0,TREPIN,,49.650289,-1.683021
10TRE2,0,TREPIN,,49.650337,-1.683102
10UNI1,1,UNIVERSITE,,49.635989,-1.643337
10UNI2,1,UNIVERSITE,,49.635762,-1.643416
